"","date","location","pinyin","high","low","weather","winddirec","windlevel"
"1","2011.02.26","上海","shanghai","15","11","小雨~阴","东南风","3-4级~4-5级"
"2","2011.07.02","台北","taibei","34","27","多云","无持续风向","微风"
"3","2011.08.06","香港","hongkong","33","28","多云","无持续风向","微风"
"4","2011.08.07","香港","hongkong","32","28","多云","西南风","3-4级"
"5","2011.12.24","上海","shanghai","7","1","晴","西北风","4-5级"
"6","2012.02.11","台北","taibei","22","15","小雨~阴","无持续风向","微风"
"7","2012.02.12","台北","taibei","19","17","阴","无持续风向","微风"
"8","2012.03.17","广州","guangzhou","25","20","小雨","无持续风向","微风"
"9","2012.03.31","澳门","aomen","23","15","中雨~晴","北风","5-6级"
"10","2012.06.16","杭州","hangzhou","27","23","多云转阵雨","东风","小于3级"
"11","2012.06.30","深圳","shenzhen","32","26","阵雨","东北风","小于3级"
"12","2012.07.21","北京","beijing","31","23","暴雨转多云","东南风","小于3级"
"13","2012.09.15","厦门","xiamen","30","22","多云","东北风","3-4级"
"14","2012.09.22","福州","fuzhou","26","21","阵雨转雷阵雨","东南风","小于3级"
"15","2012.09.29","武汉","wuhan","26","12","晴转多云","北风","小于3级"
"16","2012.10.13","南京","nanjing","23","17","阴","东风","3-4级"
"17","2012.10.20","长沙","changsha","29","20","多云转小雨","西风","小于3级"
"18","2012.12.01","成都","chengdu","14","5","多云","西北风","小于3级"
"19","2012.12.15","上海","shanghai","10","7","小雨","北风","3-4级"
"20","2012.12.28","香港","hongkong","20","15","多云转小雨","暂无实况","4-5级"
"21","2012.12.29","香港","hongkong","14","10","小雨转多云","暂无实况","5-6级"
"22","2013.03.29","台北","taibei","25","18","小雨转中雨","暂无实况","小于3级"
"23","2013.03.30","台北","taibei","24","19","小雨转中雨","暂无实况","小于3级"
"24","2012.12.08","台北","taibei","18","13","小雨","暂无实况","小于3级"
"25","2014.11.22","台北","taibei","28","19","晴","暂无实况","小于3级"
"26","2014.11.23","台北","taibei","28","19","晴","暂无实况","小于3级"
"27","2014.11.29","上海","shanghai","17","13","小雨","北风","3-4级"
"28","2014.12.20","北京","beijing","3","-6","晴","西北风","3-4级转小于3级"
"29","2015.01.17","广州","guangzhou","21","8","晴","北风","小于3级"
"30","2015.03.28","杭州","hangzhou","25","12","晴转多云","北风","小于3级"
"31","2015.04.18","天津","tianjin","18","11","小雨转阴","北风","3-4级转4-5级"
"32","2015.05.30","南京","nanjing","27","20","多云","东风","小于3级"
"33","2015.06.13","武汉","wuhan","32","22","多云~小雨","西南风","小于3级"
"34","2015.06.30","南宁","nanning","37","27","多云","东南风","小于3级"
"35","2015.08.07","香港","hongkong","34","28","多云","微风","小于3级"
"36","2015.09.12","青岛","qingdao","22","15","阵雨~多云","西北风","3-4级"
"37","2015.09.26","厦门","xiamen","30","24","阴~多云","东北风","小于3级"
"38","2015.10.24","重庆","chongqing","23","20","阴~小雨","西北风","小于3级"
"39","2015.11.08","上海","shanghai","16","13","小雨","东南风","小于3级"
"40","2016.10.8","台北","taibei","24","0","大雨","微风","小于3级"
